,Unnamed: 0,date,bull score,bear score
484,484,2018-11-14,0.161290323,0.161290323
485,485,2018-11-15,0.152173913,0.108695652
486,486,2018-11-16,0.117647059,0.147058824
487,487,2018-11-17,0.153846154,0.076923077
488,488,2018-11-18,0.136363636,0.136363636
489,489,2018-11-19,0.214285714,0.119047619
490,490,2018-11-20,0.085714286,0.171428571
491,491,2018-11-21,0.1875,0.1875
492,492,2018-11-22,0.157894737,0.105263158
493,493,2018-11-23,0.125,0.15625
494,494,2018-11-24,0.142857143,0.142857143
495,495,2018-11-25,0.25,0.083333333
496,496,2018-11-26,0.107142857,0.107142857
497,497,2018-11-27,0.189189189,0.0
498,498,2018-11-28,0.181818182,0.181818182
499,499,2018-11-29,0.107142857,0.178571429
500,500,2018-11-30,0.235294118,0.147058824
501,501,2018-12-01,0.052631579,0.157894737
502,502,2018-12-02,0.1,0.1
503,503,2018-12-03,0.133333333,0.177777778
504,504,2018-12-04,0.239130435,0.217391304
505,505,2018-12-05,0.102564103,0.102564103
506,506,2018-12-06,0.105263158,0.078947368
507,507,2018-12-07,0.108695652,0.086956522
508,508,2018-12-08,0.285714286,0.071428571
509,509,2018-12-09,0.125,0.375
510,510,2018-12-10,0.131578947,0.131578947
511,511,2018-12-11,0.090909091,0.090909091
512,512,2018-12-12,0.133333333,0.066666667
513,513,2018-12-13,0.027027027,0.135135135
514,514,2018-12-14,0.228571429,0.171428571
515,515,2018-12-15,0.25,0.125
516,516,2018-12-16,0.0,0.0
517,517,2018-12-17,0.096774194,0.064516129
518,518,2018-12-18,0.142857143,0.285714286
519,519,2018-12-19,0.057692308,0.192307692
520,520,2018-12-20,0.111111111,0.194444444
521,521,2018-12-21,0.172413793,0.103448276
522,522,2018-12-22,0.043478261,0.304347826
523,523,2018-12-23,0.142857143,0.238095238
524,524,2018-12-24,0.111111111,0.177777778
525,525,2018-12-25,0.035714286,0.357142857
526,526,2018-12-26,0.148148148,0.277777778
527,527,2018-12-27,0.145833333,0.125
528,528,2018-12-28,0.125,0.125
529,529,2018-12-29,0.157894737,0.157894737
530,530,2018-12-30,0.125,0.125
531,531,2018-12-31,0.142857143,0.178571429
532,532,2019-01-01,0.0,0.222222222
533,533,2019-01-02,0.130434783,0.130434783
534,534,2019-01-03,0.125,0.104166667
535,535,2019-01-04,0.027777778,0.111111111
536,536,2019-01-05,0.2,0.1
537,537,2019-01-06,0.074074074,0.074074074
538,538,2019-01-07,0.083333333,0.0
539,539,2019-01-08,0.1,0.1
540,540,2019-01-09,0.181818182,0.113636364
541,541,2019-01-10,0.037037037,0.074074074
542,542,2019-01-11,0.0,0.136363636
543,543,2019-01-12,0.05,0.15
544,544,2019-01-13,0.032258065,0.096774194
545,545,2019-01-14,0.117647059,0.088235294
546,546,2019-01-15,0.326086957,0.086956522
547,547,2019-01-16,0.068181818,0.090909091
548,548,2019-01-17,0.086956522,0.065217391
549,549,2019-01-18,0.021276596,0.021276596
550,550,2019-01-19,0.111111111,0.111111111
551,551,2019-01-20,0.111111111,0.0
552,552,2019-01-21,0.125,0.125
553,553,2019-01-22,0.128205128,0.128205128
554,554,2019-01-23,0.055555556,0.166666667
555,555,2019-01-24,0.139534884,0.162790698
556,556,2019-01-25,0.142857143,0.035714286
557,557,2019-01-26,0.1875,0.0625
558,558,2019-01-27,0.095238095,0.095238095
559,559,2019-01-28,0.058823529,0.098039216
560,560,2019-01-29,0.142857143,0.057142857
561,561,2019-01-30,0.046511628,0.162790698
562,562,2019-01-31,0.230769231,0.038461538
563,563,2019-02-01,0.055555556,0.027777778
564,564,2019-02-02,0.0,0.176470588
565,565,2019-02-03,0.2,0.066666667
566,566,2019-02-04,0.133333333,0.066666667
567,567,2019-02-05,0.035714286,0.035714286
568,568,2019-02-06,0.111111111,0.074074074
569,569,2019-02-07,0.088235294,0.088235294
570,570,2019-02-08,0.115384615,0.192307692
571,571,2019-02-09,0.285714286,0.142857143
572,572,2019-02-10,0.0,0.0
573,573,2019-02-11,0.15,0.1
574,574,2019-02-12,0.073170732,0.195121951
575,575,2019-02-13,0.032258065,0.161290323
576,576,2019-02-14,0.208333333,0.145833333
577,577,2019-02-15,0.05,0.05
578,578,2019-02-16,0.0,0.0
579,579,2019-02-17,0.05,0.05
580,580,2019-02-18,0.095238095,0.095238095
581,581,2019-02-19,0.181818182,0.136363636
582,582,2019-02-20,0.222222222,0.037037037
583,583,2019-02-21,0.15,0.075
584,584,2019-02-22,0.069767442,0.046511628
585,585,2019-02-23,0.052631579,0.105263158
586,586,2019-02-24,0.0,0.2
587,587,2019-02-25,0.161290323,0.096774194
588,588,2019-02-26,0.103448276,0.172413793
589,589,2019-02-27,0.0,0.111111111
590,590,2019-02-28,0.15625,0.03125
591,591,2019-03-01,0.192307692,0.153846154
592,592,2019-03-02,0.153846154,0.076923077
593,593,2019-03-03,0.076923077,0.076923077
594,594,2019-03-04,0.066666667,0.133333333
595,595,2019-03-05,0.153846154,0.076923077
596,596,2019-03-06,0.083333333,0.166666667
597,597,2019-03-07,0.128205128,0.051282051
598,598,2019-03-08,0.105263158,0.105263158
599,599,2019-03-09,0.125,0.3125
600,600,2019-03-10,0.05,0.25
601,601,2019-03-11,0.12,0.08
602,602,2019-03-12,0.068181818,0.068181818
603,603,2019-03-13,0.024390244,0.12195122
604,604,2019-03-14,0.12,0.08
605,605,2019-03-15,0.157894737,0.078947368
606,606,2019-03-16,0.142857143,0.071428571
607,607,2019-03-17,0.066666667,0.0
608,608,2019-03-18,0.043478261,0.130434783
609,609,2019-03-19,0.083333333,0.041666667
610,610,2019-03-20,0.179487179,0.102564103
611,611,2019-03-21,0.090909091,0.121212121
612,612,2019-03-22,0.028571429,0.2
613,613,2019-03-23,0.071428571,0.142857143
614,614,2019-03-24,0.111111111,0.111111111
615,615,2019-03-25,0.083333333,0.305555556
616,616,2019-03-26,0.192307692,0.0
617,617,2019-03-27,0.235294118,0.147058824
618,618,2019-03-28,0.15,0.05
619,619,2019-03-29,0.173913043,0.086956522
620,620,2019-03-30,0.0,0.153846154
621,621,2019-03-31,0.125,0.125
622,622,2019-04-01,0.111111111,0.111111111
623,623,2019-04-02,0.114285714,0.142857143
624,624,2019-04-03,0.111111111,0.055555556
